PNA;NAZWA PLACÓWKI;MIEJSCOWOŚĆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
44-119;FUP Gliwice 2;Gliwice;Wiślana;5;Gliwice;Gliwice;śląskie
44-117;UP Gliwice 20;Gliwice;Centaura;29;Gliwice;Gliwice;śląskie
44-109;FUP Gliwice 20;Gliwice;Staromiejska;4;Gliwice;Gliwice;śląskie
44-113;FUP Gliwice 20;Gliwice;Zygmuntowska;34;Gliwice;Gliwice;śląskie
44-121;UP Gliwice 21;Gliwice;Emilii Plater;1;Gliwice;Gliwice;śląskie
44-121;FUP Gliwice 21;Gliwice;Perłowa;21;Gliwice;Gliwice;śląskie
44-164;FUP Gliwice 21;Gliwice;Sopocka;2;Gliwice;Gliwice;śląskie
44-122;UP Gliwice 22;Gliwice;Żwirki i Wigury;66;Gliwice;Gliwice;śląskie
44-114;FUP Gliwice 22;Gliwice;Perkoza;12;Gliwice;Gliwice;śląskie
67-201;AP Głogów;Głogów;Cukrownicza;2;Głogów;głogowski;dolnośląskie
67-207;AP Głogów;Głogów;Kazimierza Sprawiedliwego;4;Głogów;głogowski;dolnośląskie
67-201;AP Głogów;Głogów;Polska;17;Głogów;głogowski;dolnośląskie
67-210;AP Głogów;Głogów;Saturna;34;Głogów;głogowski;dolnośląskie
67-210;AP Głogów;Głogów;Słowiańska;31;Głogów;głogowski;dolnośląskie
67-210;UP Głogów 2;Głogów;1 Maja;1;Głogów;głogowski;dolnośląskie
67-221;FUP Głogów 2;Białołęka;;12;Pęcław;głogowski;dolnośląskie
67-202;FUP Głogów 2;Głogów;Budowlanych;12;Głogów;głogowski;dolnośląskie
67-203;FUP Głogów 2;Głogów;Galileusza;18a;Głogów;głogowski;dolnośląskie
67-205;FUP Głogów 2;Głogów;Gwiaździsta;27a;Głogów;głogowski;dolnośląskie
67-206;FUP Głogów 2;Głogów;Jagiellońska;55;Głogów;głogowski;dolnośląskie
67-204;FUP Głogów 2;Głogów;Gustawa Morcinka;8;Głogów;głogowski;dolnośląskie
67-200;FUP Głogów 2;Głogów;Rycerska;27a;Głogów;głogowski;dolnośląskie
67-222;FUP Głogów 2;Jerzmanowa;Głogowska;6;Jerzmanowa;głogowski;dolnośląskie
67-210;FUP Głogów 2;Kotla;Szkolna;1;Kotla;głogowski;dolnośląskie
67-212;FUP Głogów 2;Serby;Główna;34;Głogów;głogowski;dolnośląskie
67-210;FUP Głogów 2;Żukowice;;46;Żukowice;głogowski;dolnośląskie
36-060;UP Głogów Małopolski;Głogów Małopolski;Rynek;58;Głogów Małopolski;rzeszowski;podkarpackie
36-062;FUP Głogów Małopolski;Zaczernie;;266;Trzebownisko;rzeszowski;podkarpackie
48-250;UP Głogówek;Głogówek;pl. Wolności;1;Głogówek;prudnicki;opolskie
39-217;AP Głowaczowa;Głowaczowa;;5H;Czarna;dębicki;podkarpackie
87-500;AP Głowińsk;Głowińsk;;48a;Rypin;rypiński;kujawsko-pomorskie
95-017;AP Głowno;Głowno;Juliana Tuwima;7;Głowno;zgierski;łódzkie
95-015;UP Głowno 1;Głowno;Zgierska;6;Głowno;zgierski;łódzkie
95-016;FUP Głowno 1;Głowno;Władysława Sikorskiego;45/49;Głowno;zgierski;łódzkie
76-220;UP Główczyce;Główczyce;Dworcowa;7;Główczyce;słupski;pomorskie
76-230;FUP Główczyce;Łupawa;;45;Potęgowo;słupski;pomorskie
76-230;FUP Główczyce;Potęgowo;Darżyńska;4 B;Potęgowo;słupski;pomorskie
76-214;FUP Główczyce;Smołdzino;Michała Mostnika;4;Smołdzino;słupski;pomorskie
48-100;UP Głubczyce;Głubczyce;Pocztowa;4;Głubczyce;głubczycki;opolskie
48-140;FUP Głubczyce;Branice;Główna;63;Branice;głubczycki;opolskie
48-101;AP Głubczyce;Głubczyce;Krakowska;20;Głubczyce;głubczycki;opolskie
48-340;UP Głuchołazy 1;Głuchołazy;Kościuszki;13;Głuchołazy;nyski;opolskie
48-340;FUP Głuchołazy 1;Głuchołazy;Aleja Jana Pawła II;32;Głuchołazy;nyski;opolskie
64-020;AP Głuchowo;Głuchowo;Os. Imienia Kazimierza Dobruckiego;4;Czempiń;kościański;wielkopolskie
66-438;AP Głuchowo;Głuchowo;Lemierzycka;11;Słońsk;sulęciński;lubuskie
46-100;AP Głuszyna;Głuszyna;Główna;109;Namysłów;namysłowski;opolskie
55-082;AP Gniechowice;Gniechowice;Wrocławska;6;Kąty Wrocławskie;wrocławski;dolnośląskie
83-140;UP Gniew;Gniew;Gdańska;5;Gniew;tczewski;pomorskie
84-250;UP Gniewino;Gniewino;Pomorska;18;Gniewino;wejherowski;pomorskie
84-210;FUP Gniewino;Choczewo;Pucka;2;Choczewo;wejherowski;pomorskie
88-140;UP Gniewkowo;Gniewkowo;Dworcowa;6;Gniewkowo;inowrocławski;kujawsko-pomorskie
62-201;AP Gniezno;Gniezno;Gdańska;112;Gniezno;gnieźnieński;wielkopolskie
62-200;AP Gniezno;Gniezno;Głęboka;11/A;Gniezno;gnieźnieński;wielkopolskie
62-200;AP Gniezno;Gniezno;ks. Antoniego Ludwiczaka;3;Gniezno;gnieźnieński;wielkopolskie
62-204;AP Gniezno;Gniezno;Franklina Roosevelta;114;Gniezno;gnieźnieński;wielkopolskie
62-200;UP Gniezno 1;Gniezno;Bolesława Chrobrego;36;Gniezno;gnieźnieński;wielkopolskie
62-250;FUP Gniezno 1;Czerniejewo;1 Maja;4;Czerniejewo;gnieźnieński;wielkopolskie
62-200;FUP Gniezno 1;Gniezno;Krucza;3;Gniezno;gnieźnieński;wielkopolskie
62-200;FUP Gniezno 1;Gniezno;Karola Libelta;60/D;Gniezno;gnieźnieński;wielkopolskie
62-206;FUP Gniezno 1;Gniezno;os. Osiedle Jagiellońskie;46;Gniezno;gnieźnieński;wielkopolskie
62-204;FUP Gniezno 1;Gniezno;gen. Władysława Sikorskiego;6;Gniezno;gnieźnieński;wielkopolskie
62-260;FUP Gniezno 1;Łubowo;;60;Łubowo;gnieźnieński;wielkopolskie
62-210;UP Gniezno 2;Gniezno;Pocztowa;2;Gniezno;gnieźnieński;wielkopolskie
62-280;FUP Gniezno 2;Kiszkowo;Szkolna;24/A;Kiszkowo;gnieźnieński;wielkopolskie
62-270;FUP Gniezno 2;Kłecko;dr. Juliana Domańskiego;2;Kłecko;gnieźnieński;wielkopolskie
62-212;FUP Gniezno 2;Mieleszyn;;88;Mieleszyn;gnieźnieński;wielkopolskie
62-220;FUP Gniezno 2;Niechanowo;Różana;1;Niechanowo;gnieźnieński;wielkopolskie
28-114;AP Gnojno;Gnojno;;40;Gnojno;buski;świętokrzyskie
58-150;AP Goczałków;Goczałków;Strzegomska;24c;Strzegom;świdnicki;dolnośląskie
24-350;AP Godów;Godów;;104 A;Chodel;opolski;lubelskie
98-277;AP Godynice;Godynice;;5;Brąszewice;sieradzki;łódzkie
62-872;UP Godziesze Małe;Godziesze Wielkie;3 Maja;15;Godziesze Wielkie;kaliski;wielkopolskie
83-250;AP Godziszewo;Godziszewo;Tczewska;11;Skarszewy;starogardzki;pomorskie
43-376;AP Godziszka;Godziszka;Żywiecka;306;Buczkowice;bielski;śląskie
47-320;UP Gogolin;Gogolin;Ligonia;2;Gogolin;krapkowicki;opolskie
63-803;AP Gola;Gola;;76/D;Gostyń;gostyński;wielkopolskie
36-231;AP Golcowa;Golcowa;;bn;Domaradz;brzozowski;podkarpackie
74-300;AP Golenice;Golenice;;32;Myślibórz;myśliborski;zachodniopomorskie
72-100;UP Goleniów 1;Goleniów;Konstytucji 3 Maja;17;Goleniów;goleniowski;zachodniopomorskie
72-100;FUP Goleniów 1;Glewice;;1A;Goleniów;goleniowski;zachodniopomorskie
72-100;FUP Goleniów 1;Goleniów;Juliusza Słowackiego;17;Goleniów;goleniowski;zachodniopomorskie
72-100;FUP Goleniów 1;Goleniów;Stargardzka;13;Goleniów;goleniowski;zachodniopomorskie
72-102;FUP Goleniów 1;Goleniów;Wrzosowa;5;Goleniów;goleniowski;zachodniopomorskie
72-130;FUP Goleniów 1;Maszewo;Wojska Polskiego;9;Maszewo;goleniowski;zachodniopomorskie
72-100;FUP Goleniów 1;Mosty;;54;Goleniów;goleniowski;zachodniopomorskie
72-110;FUP Goleniów 1;Przybiernów;Bolesława Chrobrego;11;Przybiernów;goleniowski;zachodniopomorskie
72-112;FUP Goleniów 1;Stepnica;Władysława Sikorskiego;2;Stepnica;goleniowski;zachodniopomorskie
63-201;AP Golina;Golina;Słoneczna;7/A;Jarocin;jarociński;wielkopolskie
63-940;AP Golina Wielka;Golina Wielka;;24;Bojanowo;rawicki;wielkopolskie
87-400;UP Golub-Dobrzyń 1;Golub-Dobrzyń;Rynek;26;Golub-Dobrzyń;golubsko-dobrzyński;kujawsko-pomorskie
87-401;FUP Golub-Dobrzyń 1;Golub-Dobrzyń;Kościuszki;19;Golub-Dobrzyń;golubsko-dobrzyński;kujawsko-pomorskie
87-404;FUP Golub-Dobrzyń 1;Radomin;;10;Radomin;golubsko-dobrzyński;kujawsko-pomorskie
19-500;UP Gołdap;Gołdap;Królewiecka;1;Gołdap;gołdapski;warmińsko-mazurskie
19-520;FUP Gołdap;Banie Mazurskie;Konopnickiej;39;Banie Mazurskie;gołdapski;warmińsko-mazurskie
19-504;FUP Gołdap;Dubeninki;Dębowa;12;Dubeninki;gołdapski;warmińsko-mazurskie
19-500;FUP Gołdap;Gołdap;Armii Krajowej;34C;Gołdap;gołdapski;warmińsko-mazurskie
19-501;AP Gołdap;Gołdap;Mazurska;19;Gołdap;gołdapski;warmińsko-mazurskie
99-303;AP Gołębiew Stary;Gołębiew Stary;;56;Kutno;kutnowski;łódzkie
44-340;AP Gołkowice;Gołkowice;1 Maja;143;Godów;wodzisławski;śląskie
83-316;AP Gołubie;Gołubie;Sambora II;11;Stężyca;kartuski;pomorskie
63-322;UP Gołuchów;Gołuchów;Jana i Izabeli Działyńskich;1;Gołuchów;pleszewski;wielkopolskie
06-420;UP Gołymin;Gołymin-Ośrodek;Szosa Ciechanowska;10;Gołymin-Ośrodek;ciechanowski;mazowieckie
06-425;FUP Gołymin;Karniewo;Pułtuska;5;Karniewo;makowski;mazowieckie
66-340;AP Goraj;Goraj;;21;Przytoczna;międzyrzecki;lubuskie
22-463;AP Gorajec-Zagroble;Gorajec-Zagroble;;86;Radecznica;zamojski;lubelskie
78-125;AP Gorawino;Gorawino;;1;Rymań;kołobrzeski;zachodniopomorskie
83-314;AP Goręczyno;Goręczyno;Kasztelańska;63;Somonino;kartuski;pomorskie
38-300;UP Gorlice 1;Gorlice;Władysława Jagiełły;4;Gorlice;gorlicki;małopolskie
38-320;FUP Gorlice 1;Gorlice;Fryderyka Chopina;5;Gorlice;gorlicki;małopolskie
38-300;FUP Gorlice 1;Gorlice;gen. Józefa Hallera;2;Gorlice;gorlicki;małopolskie
38-301;FUP Gorlice 1;Gorlice;Parkowa;6;Gorlice;gorlicki;małopolskie
38-301;FUP Gorlice 1;Gorlice;Węgierska;2;Gorlice;gorlicki;małopolskie
38-322;FUP Gorlice 1;Łużna;;1;Łużna;gorlicki;małopolskie
38-321;FUP Gorlice 1;Moszczenica;Samorządowa;2;Moszczenica;gorlicki;małopolskie
38-312;FUP Gorlice 1;Ropa;;868;Ropa;gorlicki;małopolskie
38-307;FUP Gorlice 1;Sękowa;;181;Sękowa;gorlicki;małopolskie
14-220;AP Goryń;Goryń;;62;Kisielice;iławski;warmińsko-mazurskie
56-421;AP Gorzesław;Gorzesław;;7;Bierutów;oleśnicki;dolnośląskie
09-503;AP Gorzewo;Gorzewo;Kruk;7A;Gostynin;gostyniński;mazowieckie
97-350;UP Gorzkowice;Gorzkowice;Szkolna;2;Gorzkowice;piotrkowski;łódzkie
66-400;AP Gorzów Wielkopolski;Gorzów Wielkopolski;Brukselska;7/1;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-400;AP Gorzów Wielkopolski;Gorzów Wielkopolski;Aleksandra Fredry;10;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-400;AP Gorzów Wielkopolski;Gorzów Wielkopolski;Górczyńska;19;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-414;AP Gorzów Wielkopolski;Gorzów Wielkopolski;Jana Pawła II Pl.;24 M;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-400;AP Gorzów Wielkopolski;Gorzów Wielkopolski;Kobylogórska;95;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-400;AP Gorzów Wielkopolski;Gorzów Wielkopolski;Konstytucji 3 Maja Al.;102;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-400;AP Gorzów Wielkopolski;Gorzów Wielkopolski;Konstytucji 3 Maja Al.;31;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-400;AP Gorzów Wielkopolski;Gorzów Wielkopolski;Obotrycka;5;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-414;AP Gorzów Wielkopolski;Gorzów Wielkopolski;Michała Ogińskiego;16 G;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-400;AP Gorzów Wielkopolski;Gorzów Wielkopolski;Słowiańska;70;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-412;AP Gorzów Wielkopolski;Gorzów Wielkopolski;Widok;5;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-400;UP Gorzów Wielkopolski 1;Gorzów Wielkopolski;Kazimierza Jagiellończyka;4;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-407;FUP Gorzów Wielkopolski 1;Gorzów Wielkopolski;Legionów Polskich;4C;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-403;FUP Gorzów Wielkopolski 1;Gorzów Wielkopolski;Podmiejska;21 A;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-402;FUP Gorzów Wielkopolski 1;Gorzów Wielkopolski;Przemysłowa;2;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-410;FUP Gorzów Wielkopolski 1;Gorzów Wielkopolski;gen. Władysława Sikorskiego;42;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-405;FUP Gorzów Wielkopolski 1;Gorzów Wielkopolski;Spółdzielców;2/1B;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-409;FUP Gorzów Wielkopolski 1;Gorzów Wielkopolski;Wincentego Witosa;50/BOX 92;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-406;FUP Gorzów Wielkopolski 1;Gorzów Wielkopolski;Walerego Wróblewskiego;35;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-433;FUP Gorzów Wielkopolski 1;Lubiszyn;Pocztowa;1;Lubiszyn;gorzowski;lubuskie
66-431;FUP Gorzów Wielkopolski 1;Santok;Gorzowska;30;Santok;gorzowski;lubuskie
66-401;UP Gorzów Wielkopolski 3;Gorzów Wielkopolski;Emilii Sczanieckiej;51;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-408;UP Gorzów Wielkopolski 10;Gorzów Wielkopolski;Słoneczna;62;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-410;UP Gorzów Wielkopolski 12;Gorzów Wielkopolski;Pocztowa;19;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-412;UP Gorzów Wielkopolski 14;Gorzów Wielkopolski;Okólna;25;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-413;UP Gorzów Wielkopolski 15;Gorzów Wielkopolski;Karola Marcinkowskiego;90;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-414;UP Gorzów Wielkopolski 16;Gorzów Wielkopolski;Kombatantów;2;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-411;FUP Gorzów Wielkopolski 16;Gorzów Wielkopolski;Obrońców Pokoju;30/A;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
33-250;AP Gorzyce;Gorzyce;;14;Żabno;tarnowski;małopolskie
88-400;AP Gorzyce;Gorzyce;;11B;Żnin;żniński;kujawsko-pomorskie
44-350;UP Gorzyce k. Rybnika;Gorzyce;Kościelna;25;Gorzyce;wodzisławski;śląskie
44-360;FUP Gorzyce k. Rybnika;Lubomia;Szkolna;1;Lubomia;wodzisławski;śląskie
39-432;UP Gorzyce Tarnobrzeskie;Gorzyce;Edukacji Narodowej;1;Gorzyce;tarnobrzeski;podkarpackie
63-410;AP Gorzyce Wielkie;Gorzyce Wielkie;Ostrowska;10;Ostrów Wielkopolski;ostrowski;wielkopolskie
48-210;AP Gostomia;Gostomia;;110;Biała;prudnicki;opolskie
89-520;UP Gostycyn k. Tucholi;Gostycyn;Bydgoska;6;Gostycyn;tucholski;kujawsko-pomorskie
09-500;UP Gostynin;Gostynin;Wojska Polskiego;27;Gostynin;gostyniński;mazowieckie
09-504;FUP Gostynin;Lucień;;30 A;Gostynin;gostyniński;mazowieckie
09-550;FUP Gostynin;Szczawin Kościelny;Warszawska;5;Szczawin Kościelny;gostyniński;mazowieckie
09-501;AP Gostynin;Gostynin;Kutnowska;39;Gostynin;gostyniński;mazowieckie
09-502;AP Gostynin;Gostynin;Bolesława Prusa;11;Gostynin;gostyniński;mazowieckie
63-802;AP Gostyń;Gostyń;Górna;26;Gostyń;gostyński;wielkopolskie
63-800;UP Gostyń Poznański 1;Gostyń;Kolejowa;30;Gostyń;gostyński;wielkopolskie
63-810;FUP Gostyń Poznański 1;Borek Wielkopolski;Dworcowa;52;Borek Wielkopolski;gostyński;wielkopolskie
63-815;FUP Gostyń Poznański 1;Gostyń;ks. Jana Twardowskiego;9;Gostyń;gostyński;wielkopolskie
63-814;FUP Gostyń Poznański 1;Gostyń;Władysława Łokietka;2;Gostyń;gostyński;wielkopolskie
63-830;FUP Gostyń Poznański 1;Pępowo;Stanisławy Nadstawek;1/A;Pępowo;gostyński;wielkopolskie
63-820;FUP Gostyń Poznański 1;Piaski;rynek Rynek;14;Piaski;gostyński;wielkopolskie
63-860;FUP Gostyń Poznański 1;Pogorzela;Rynek;21;Pogorzela;gostyński;wielkopolskie
72-405;AP Gostyń Szczeciński;Gostyń;;20;Świerzno;kamieński;zachodniopomorskie
09-132;AP Goszczyce Średnie;Goszczyce Średnie;;17;Baboszewo;płoński;mazowieckie
84-241;AP Gościcino;Gościcino;Brzozowa;1;Wejherowo;wejherowski;pomorskie
23-275;UP Gościeradów;Gościeradów Ukazowy;;55;Gościeradów;kraśnicki;lubelskie
88-420;AP Gościeszyn;Gościeszyn;;22;Rogowo;żniński;kujawsko-pomorskie
66-542;AP Gościmiec;Gościmiec;;93;Zwierzyn;strzelecko-drezdenecki;lubuskie
59-730;AP Gościszów;Gościszów;;146;Nowogrodziec;bolesławiecki;dolnośląskie
63-003;AP Gowarzewo;Gowarzewo;Siekierecka;24/B;Kleszczewo;poznański;wielkopolskie
83-341;AP Gowidlino;Gowidlino;Kartuska;27;Sierakowice;kartuski;pomorskie
07-440;UP Goworowo;Goworowo;Szkolna;10;Goworowo;ostrołęcki;mazowieckie
68-130;UP Gozdnica;Gozdnica;Ceramików;10;Gozdnica;żagański;lubuskie
68-132;FUP Gozdnica;Przewóz;Pocztowa;6;Przewóz;żarski;lubuskie
09-213;UP Gozdowo;Gozdowo;Parkowa;23;Gozdowo;sierpecki;mazowieckie
09-216;AP Gójsk;Gójsk;Podleska;4;Szczutowo;sierpecki;mazowieckie
56-201;AP Góra;Góra;pl. Bolesława Chrobrego;3;Góra;górowski;dolnośląskie
56-203;AP Góra;Góra;Dworcowa;2;Góra;górowski;dolnośląskie
63-234;AP Góra;Góra;Zaleska;3;Jaraczewo;jarociński;wielkopolskie
43-200;AP Góra k. Miedźnej;Góra;Kościelna;29;Miedźna;pszczyński;śląskie
09-440;AP Góra k. Płocka;Nowa Góra;Płocka;20;Staroźreby;płocki;mazowieckie
05-530;UP Góra Kalwaria 1;Góra Kalwaria;Kalwaryjska;14;Góra Kalwaria;piaseczyński;mazowieckie
05-532;FUP Góra Kalwaria 1;Baniocha;Graniczna;2;Góra Kalwaria;piaseczyński;mazowieckie
56-200;UP Góra Śląska;Góra;Podwale;33;Góra;górowski;dolnośląskie
46-062;AP Górki;Górki;Opolska;9;Prószków;opolski;opolskie
39-305;AP Górki Mieleckie;Górki;;71;Borowa;mielecki;podkarpackie
19-506;AP Górne;Górne;;19;Gołdap;gołdapski;warmińsko-mazurskie
36-051;AP Górno;Górno;Centralna;2/8;Sokołów Małopolski;rzeszowski;podkarpackie
26-008;UP Górno k. Kielc;Górno;;169;Górno;kielecki;świętokrzyskie
11-220;UP Górowo Iławeckie;Górowo Iławeckie;Szkolna;2;Górowo Iławeckie;bartoszycki;warmińsko-mazurskie
97-570;AP Góry Mokre;Góry Mokre;;95C;Przedbórz;radomszczański;łódzkie
87-320;UP Górzno k. Brodnicy;Górzno;Pocztowa;10;Górzno;brodnicki;kujawsko-pomorskie
87-321;FUP Górzno k. Brodnicy;Bartniczka;Pocztowa;7;Bartniczka;brodnicki;kujawsko-pomorskie
87-335;FUP Górzno k. Brodnicy;Świedziebnia;;19;Świedziebnia;brodnicki;kujawsko-pomorskie
26-634;UP Gózd k. Radomia;Gózd;Radomska;7;Gózd;radomski;mazowieckie
66-629;AP Grabice;Grabice;;32A;Gubin;krośnieński;lubuskie
49-100;AP Grabin;Grabin;Nyska;42;Niemodlin;opolski;opolskie
36-200;AP Grabownica Starzeńska;Grabownica Starzeńska;;800;Brzozów;brzozowski;podkarpackie
56-416;AP Grabowno Wielkie;Grabowno Wielkie;;56 B;Twardogóra;oleśnicki;dolnośląskie
78-427;AP Grabowo;Grabowo;;53;Biały Bór;szczecinecki;zachodniopomorskie
83-403;AP Grabowo Kościerskie;Grabowo Kościerskie;Osiedlowa;1;Nowa Karczma;kościerski;pomorskie
99-150;UP Grabów k. Łęczycy;Grabów;1 Maja;21;Grabów;łęczycki;łódzkie
99-140;FUP Grabów k. Łęczycy;Świnice Warckie;Świętej Faustyny;5;Świnice Warckie;łęczycki;łódzkie
63-520;UP Grabów nad Prosną;Grabów nad Prosną;Henryka Sienkiewicza;12;Grabów nad Prosną;ostrzeszowski;wielkopolskie
15-057;AP Grabówka;Grabówka;Białostocka;1/1;Supraśl;białostocki;podlaskie
49-153;AP Gracze;Gracze;Niemodlińska;42;Niemodlin;opolski;opolskie
19-200;UP Grajewo 1;Grajewo;Józefa Piłsudskiego;12;Grajewo;grajewski;podlaskie
19-200;FUP Grajewo 1;Grajewo;Ełcka;16;Grajewo;grajewski;podlaskie
19-200;FUP Grajewo 1;Grajewo;Kopernika;26;Grajewo;grajewski;podlaskie
19-206;FUP Grajewo 1;Rajgród;Franciszka Zabielskiego;6;Rajgród;grajewski;podlaskie
19-203;UP Grajewo 4;Grajewo;os. Osiedle Południe;28 A;Grajewo;grajewski;podlaskie
62-564;AP Grąblin;Grąblin;;95;Kramsk;koniński;wielkopolskie
07-110;UP Grębków k. Kałuszyna;Grębków;Warszawska;5;Grębków;węgrowski;mazowieckie
07-111;FUP Grębków k. Kałuszyna;Wierzbno;;92;Wierzbno;węgrowski;mazowieckie
87-122;AP Grębocin;Grębocin;Kowalewska;6;Lubicz;toruński;kujawsko-pomorskie
39-410;UP Grębów;Grębów;Rynek;1D;Grębów;tarnobrzeski;podkarpackie
37-720;AP Grochowce;Grochowce;;43;Przemyśl;przemyski;podkarpackie
62-570;AP Grochowy;Grochowy;;25;Rychwał;koniński;wielkopolskie
49-200;UP Grodków;Grodków;Warszawska;30;Grodków;brzeski;opolskie
46-040;AP Grodziec;Grodziec;Częstochowska;117;Ozimek;opolski;opolskie
17-315;UP Grodzisk;Grodzisk;Bielska;5;Grodzisk;siemiatycki;podlaskie
17-322;FUP Grodzisk;Perlejewo;;9 A;Perlejewo;siemiatycki;podlaskie
05-321;AP Grodzisk;Grodzisk;Mazowiecka;214;Mrozy;miński;mazowieckie
05-824;AP Grodzisk Mazowiecki;Grodzisk Mazowiecki;Graniczna;20;Grodzisk Mazowiecki;grodziski;mazowieckie
05-825;UP Grodzisk Mazowiecki 1;Grodzisk Mazowiecki;E. Orzeszkowej;2A;Grodzisk Mazowiecki;grodziski;mazowieckie
05-827;FUP Grodzisk Mazowiecki 1;Grodzisk Mazowiecki;1 Maja;2;Grodzisk Mazowiecki;grodziski;mazowieckie
05-826;FUP Grodzisk Mazowiecki 1;Grodzisk Mazowiecki;H. Sienkiewicza;45;Grodzisk Mazowiecki;grodziski;mazowieckie
62-065;UP Grodzisk Wielkopolski;Grodzisk Wielkopolski;Bukowska;2;Grodzisk Wielkopolski;grodziski;wielkopolskie
62-065;FUP Grodzisk Wielkopolski;Granowo;Poznańska;15/A;Granowo;grodziski;wielkopolskie
62-066;FUP Grodzisk Wielkopolski;skrytki/przegródki;;;Granowo;grodziski;wielkopolskie
62-065;AP Grodzisk Wielkopolski;Grodzisk Wielkopolski;Nowotomyska;11;Grodzisk Wielkopolski;grodziski;wielkopolskie
63-303;AP Grodzisko;Grodzisko;;6/A;Pleszew;pleszewski;wielkopolskie
37-306;UP Grodzisko Dolne;Grodzisko Dolne;;278 B;Grodzisko Dolne;leżajski;podkarpackie
58-100;AP Grodziszcze;Grodziszcze;;83;Świdnica;świdnicki;dolnośląskie
32-591;AP Gromiec;Gromiec;Kolonia;4;Libiąż;chrzanowski;małopolskie
33-180;UP Gromnik;Gromnik;Pogórze;2;Gromnik;tarnowski;małopolskie
16-040;UP Gródek;Gródek;Aleksandra i Grzegorza Chodkiewiczów;63;Gródek;białostocki;podlaskie
16-120;FUP Gródek;Krynki;Józefa Piłsudskiego;10;Krynki;sokólski;podlaskie
16-050;FUP Gródek;Michałowo;Białostocka;3;Michałowo;białostocki;podlaskie
33-318;UP Gródek nad Dunajcem;Gródek nad Dunajcem;;239;Gródek nad Dunajcem;nowosądecki;małopolskie
13-206;AP Gródki;Gródki;;58;Płośnica;działdowski;warmińsko-mazurskie
05-600;UP Grójec;Grójec;Aleja Niepodległości;6;Grójec;grójecki;mazowieckie
05-601;FUP Grójec;Grójec;Mogielnicka;28;Grójec;grójecki;mazowieckie
05-600;FUP Grójec;Grójec;Józefa Piłsudskiego;47;Grójec;grójecki;mazowieckie
05-604;FUP Grójec;Jasieniec;Warecka;42;Jasieniec;grójecki;mazowieckie
05-652;FUP Grójec;Pniewy;;2a/4;Pniewy;grójecki;mazowieckie
05-602;AP Grójec;Grójec;Jana Pawła II;26;Grójec;grójecki;mazowieckie
06-460;UP Grudusk;Grudusk;Ciechanowska;54;Grudusk;ciechanowski;mazowieckie
06-415;FUP Grudusk;Czernice Borowe;Długa;2;Czernice Borowe;przasnyski;mazowieckie
86-310;AP Grudziądz;Grudziądz;Bolesława Stachonia;8;Grudziądz;Grudziądz;kujawsko-pomorskie
86-300;UP Grudziądz 1;Grudziądz;Sienkiewicza;20;Grudziądz;Grudziądz;kujawsko-pomorskie
86-311;FUP Grudziądz 1;Grudziądz;gen. Józefa Kustronia;26;Grudziądz;Grudziądz;kujawsko-pomorskie
86-304;FUP Grudziądz 1;Grudziądz;Legionów;50;Grudziądz;Grudziądz;kujawsko-pomorskie
86-308;FUP Grudziądz 1;Grudziądz;Śniadeckich;23;Grudziądz;Grudziądz;kujawsko-pomorskie
86-306;UP Grudziądz 8;Grudziądz;Ryszarda Milczewskiego-Bruna;3;Grudziądz;Grudziądz;kujawsko-pomorskie
86-307;UP Grudziądz 9;Grudziądz;Jackowskiego;43;Grudziądz;Grudziądz;kujawsko-pomorskie
86-302;FUP Grudziądz 9;Grudziądz;Chełmińska;68;Grudziądz;Grudziądz;kujawsko-pomorskie
